month;year;Rc
1;2009;0
2;2009;-0.0258570572504404
3;2009;0.0915200705130559
4;2009;0.153696039837152
5;2009;0.0862302779316981
6;2009;-0.0244793030077257
7;2009;0.0590356140254309
8;2009;0.044270901010941
9;2009;0.0975922354258696
10;2009;-0.0356146834754218
11;2009;0.0803782922772185
12;2009;0.0728803969359331
1;2010;-0.0379606904525263
2;2010;-0.0169567463287617
3;2010;0.0646806183344861
4;2010;-0.0334300275981548
5;2010;-0.0318143451121786
6;2010;-0.00443439888063724
7;2010;0.072942117667409
8;2010;-0.037432616252708
9;2010;0.0585941589029624
10;2010;0.0238263578156288
11;2010;-0.0260390005505278
12;2010;0.0349461032714868
1;2011;-0.00715278110477668
2;2011;0.0157838609900742
3;2011;0.0382218252988009
4;2011;-0.0178033804002672
5;2011;-0.0115436754354501
6;2011;-0.0256380045714825
7;2011;-0.0403153643377107
8;2011;-0.0363288140718714
9;2011;-0.0281011704898484
10;2011;0.074956007942786
11;2011;-0.0249001291562791
12;2011;0.0365019714144901
1;2012;0.0593380684913865
2;2012;0.0597501332560295
3;2012;0.0138846606927769
4;2012;0.0125805047867711
5;2012;-0.0776093617716197
6;2012;0.0476117261172613
7;2012;0.0236467705280383
8;2012;-0.0247992770498071
9;2012;0.0121580682526954
10;2012;-0.00550642856828443
11;2012;0.0191556975807521
12;2012;0.0563999895772715
1;2013;0.00718593398642575
2;2013;-0.00702854274064202
3;2013;0.00215801610496591
4;2013;0.0040729438401339
5;2013;-0.020776398403575
6;2013;-0.0638602316956668
7;2013;0.0263766527185463
8;2013;0.0238969790119921
9;2013;0.0367262303562794
10;2013;0.0488165014908768
11;2013;-0.0180171748133935
12;2013;-0.0152540488161332
1;2014;-0.0684744778412734
2;2014;-0.0212873730420553
3;2014;0.0576913719505452
4;2014;0.0229018807479495
5;2014;-0.0170944014915182
6;2014;0.0448873137494696
7;2014;0.0229664043185918
8;2014;0.0504276896973093
9;2014;-0.0674977771191463
10;2014;0.0128485782734276
11;2014;0.0151803400866888
12;2014;-0.0604547825582968
1;2015;-0.0575672707981197
2;2015;0.0852239255370677
3;2015;-0.0213598401228834
4;2015;0.068900767938072
5;2015;-0.043986499992312
6;2015;-0.00329707886853914
7;2015;-0.00545010791294342
8;2015;-0.0711301483771002
9;2015;-0.0272316788792916
10;2015;0.00709726075362949
11;2015;-0.0329450885474474
12;2015;-0.0237425790036505
1;2016;-0.0502641630587203
2;2016;0.0294300415102782
3;2016;0.0706797054207413
4;2016;0.0174777074660255
5;2016;-0.0607395849033184
6;2016;0.0400549357195445
7;2016;0.127144678746296
8;2016;0.00503643463907566
9;2016;-0.0055439611281799
10;2016;0.0620888836971363
11;2016;-0.0724994405907361
12;2016;-0.0145161620085461
1;2017;0.0220078421609511
2;2017;0.0287403221157163
3;2017;-0.00643676890776201
4;2017;0.021044102050787
5;2017;-0.0201435490459241
6;2017;-0.014078300122679
7;2017;0.0367614192348116
8;2017;0.0634855899945623
9;2017;0.0468252953744452
10;2017;0.00210378681626922
11;2017;-0.0609861817574131
12;2017;0.0490819837456251
1;2018;0.0785969252518113
2;2018;-0.0285527984298254
3;2018;0.00707648199679567
4;2018;0.00491002200466872
5;2018;-0.0795196624438822
6;2018;-0.0175320443189224
7;2018;0.032553494165948
8;2018;-0.0192668049155694
9;2018;-0.0194742569320858
10;2018;0.103744311897321
11;2018;0.0415942267791629
12;2018;0.00362559807840079
1;2019;0.0919434481205668
2;2019;-0.0352985885867307
3;2019;-0.0394393293939811
4;2019;-0.00189477030678753
5;2019;0.0249718111570485
6;2019;0.0281733034177143
7;2019;0.0378317112978299
8;2019;0.0220719500723694
9;2019;0.0203928697614517
10;2019;-0.00421096134460353
11;2019;0.0512583951430854
12;2019;0.104410964458339
